ZIP (character),ZIP (numeric),state
01833,1833,MA
01834,1834,MA
01835,1835,MA
01840,1840,MA
01841,1841,MA
01842,1842,MA
01843,1843,MA
01844,1844,MA
01845,1845,MA
01850,1850,MA
01851,1851,MA
01852,1852,MA
01853,1853,MA
01854,1854,MA
01860,1860,MA
01862,1862,MA
01863,1863,MA
01864,1864,MA
01865,1865,MA
01866,1866,MA
01867,1867,MA
01876,1876,MA
01879,1879,MA
01880,1880,MA
01885,1885,MA
01886,1886,MA
01887,1887,MA
01888,1888,MA
01889,1889,MA
01890,1890,MA
01899,1899,MA
01901,1901,MA
01902,1902,MA
01903,1903,MA
01904,1904,MA
01905,1905,MA
01906,1906,MA
01907,1907,MA
01908,1908,MA
01910,1910,MA
01913,1913,MA
01915,1915,MA
01921,1921,MA
01922,1922,MA
01923,1923,MA
01929,1929,MA
01930,1930,MA
01931,1931,MA
01936,1936,MA
01937,1937,MA
01938,1938,MA
01940,1940,MA
01944,1944,MA
01945,1945,MA
01949,1949,MA
01950,1950,MA
01951,1951,MA
01952,1952,MA
01960,1960,MA
01961,1961,MA
01965,1965,MA
01966,1966,MA
01969,1969,MA
01970,1970,MA
01971,1971,MA
01982,1982,MA
01983,1983,MA
01984,1984,MA
01985,1985,MA
02018,2018,MA
02019,2019,MA
02020,2020,MA
02021,2021,MA
02025,2025,MA
02026,2026,MA
02027,2027,MA
02030,2030,MA
02032,2032,MA
02035,2035,MA
02038,2038,MA
02040,2040,MA
02041,2041,MA
02043,2043,MA
02044,2044,MA
02045,2045,MA
02047,2047,MA
02048,2048,MA
02050,2050,MA
02051,2051,MA
02052,2052,MA
02053,2053,MA
02054,2054,MA
02055,2055,MA
02056,2056,MA
02059,2059,MA
02060,2060,MA
02061,2061,MA
02062,2062,MA
02065,2065,MA
02066,2066,MA
02067,2067,MA
02070,2070,MA
02071,2071,MA
02072,2072,MA
02081,2081,MA
02090,2090,MA
02093,2093,MA
02101,2101,MA
02108,2108,MA
02109,2109,MA
02110,2110,MA
02111,2111,MA
02112,2112,MA
02113,2113,MA
02114,2114,MA
02115,2115,MA
02116,2116,MA
02117,2117,MA
02118,2118,MA
02119,2119,MA
02120,2120,MA
02121,2121,MA
02122,2122,MA
02123,2123,MA
02124,2124,MA
02125,2125,MA
02126,2126,MA
02127,2127,MA
02128,2128,MA
02129,2129,MA
02130,2130,MA
02131,2131,MA
02132,2132,MA
02133,2133,MA
02134,2134,MA
02135,2135,MA
02136,2136,MA
02137,2137,MA
02138,2138,MA
02139,2139,MA
02140,2140,MA
02141,2141,MA
02142,2142,MA
02143,2143,MA
02144,2144,MA
02145,2145,MA
02148,2148,MA
02149,2149,MA
02150,2150,MA
02151,2151,MA
02152,2152,MA
02153,2153,MA
02155,2155,MA
02156,2156,MA
02163,2163,MA
02169,2169,MA
02170,2170,MA
02171,2171,MA
02176,2176,MA
02180,2180,MA
02184,2184,MA
02185,2185,MA
02186,2186,MA
02187,2187,MA
02188,2188,MA
02189,2189,MA
02190,2190,MA
02191,2191,MA
02196,2196,MA
02199,2199,MA
02201,2201,MA
02203,2203,MA
02204,2204,MA
02205,2205,MA
02206,2206,MA
02210,2210,MA
02211,2211,MA
02212,2212,MA
02215,2215,MA
02217,2217,MA
02222,2222,MA
02228,2228,MA
02238,2238,MA
02241,2241,MA
02266,2266,MA
02269,2269,MA
02283,2283,MA
02284,2284,MA
02293,2293,MA
02295,2295,MA
02297,2297,MA
02298,2298,MA
02301,2301,MA
02302,2302,MA
02303,2303,MA
02304,2304,MA
02305,2305,MA
02322,2322,MA
02324,2324,MA
02325,2325,MA
02327,2327,MA
02330,2330,MA
02331,2331,MA
02332,2332,MA
02333,2333,MA
02334,2334,MA
02337,2337,MA
02338,2338,MA
02339,2339,MA
02340,2340,MA
02341,2341,MA
02343,2343,MA
02344,2344,MA
02345,2345,MA
02346,2346,MA
02347,2347,MA
02348,2348,MA
02349,2349,MA
02350,2350,MA
02351,2351,MA
02355,2355,MA
02356,2356,MA
02357,2357,MA
02358,2358,MA
02359,2359,MA
02360,2360,MA
02361,2361,MA
02362,2362,MA
02364,2364,MA
02366,2366,MA
02367,2367,MA
02368,2368,MA
02370,2370,MA
02375,2375,MA
02379,2379,MA
02381,2381,MA
02382,2382,MA
02420,2420,MA
02421,2421,MA
02445,2445,MA
02446,2446,MA
02447,2447,MA
02451,2451,MA
02452,2452,MA
02453,2453,MA
02454,2454,MA
02455,2455,MA
02456,2456,MA
02457,2457,MA
02458,2458,MA
02459,2459,MA
02460,2460,MA
02461,2461,MA
02462,2462,MA
02464,2464,MA
02465,2465,MA
02466,2466,MA
02467,2467,MA
02468,2468,MA
02471,2471,MA
02472,2472,MA
02474,2474,MA
02475,2475,MA
02476,2476,MA
02477,2477,MA
02478,2478,MA
02479,2479,MA
02481,2481,MA
02482,2482,MA
02492,2492,MA
